MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 22 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 44 | Average Score: 4.50 | Total Ratings: 2
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 26 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 37 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 31 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 24 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 34 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 29 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 30 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 42 | Average Score: 4.50 | Total Ratings: 2
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 39 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 38 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 27 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 33 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1013 | Title: The Godfather: Part II (1974) | Age: 36 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 50 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 48 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 42 | Average Score: 4.00 | Total Ratings: 3
MovieID: 1025 | Title: The Terminator (1984) | Age: 27 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 40 | Average Score: 4.50 | Total Ratings: 2
MovieID: 1025 | Title: The Terminator (1984) | Age: 44 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 33 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 26 | Average Score: 4.25 | Total Ratings: 2
MovieID: 1025 | Title: The Terminator (1984) | Age: 22 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 37 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 32 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1025 | Title: The Terminator (1984) | Age: 61 | Average Score: 3.75 | Total Ratings: 2
MovieID: 1025 | Title: The Terminator (1984) | Age: 46 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 41 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 42 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 45 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 29 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 33 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 37 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 39 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 44 | Average Score: 3.75 | Total Ratings: 2
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 50 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1039 | Title: The Lord of the Rings: The Return of the King (2003) | Age: 31 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1012 | Title: Psycho (1960) | Age: 38 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1012 | Title: Psycho (1960) | Age: 33 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 24 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 30 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 38 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 40 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 54 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 29 | Average Score: 3.00 | Total Ratings: 2
MovieID: 1040 | Title: Gladiator (2000) | Age: 50 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 26 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 36 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 28 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 61 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 37 | Average Score: 4.00 | Total Ratings: 2
MovieID: 1040 | Title: Gladiator (2000) | Age: 45 | Average Score: 4.00 | Total Ratings: 2
MovieID: 1040 | Title: Gladiator (2000) | Age: 34 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1040 | Title: Gladiator (2000) | Age: 35 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 50 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 36 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 31 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 47 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 24 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 28 | Average Score: 3.50 | Total Ratings: 1
MovieID: 1015 | Title: Sunset Boulevard (1950) | Age: 42 | Average Score: 4.50 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 41 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 30 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 36 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 39 | Average Score: 3.75 | Total Ratings: 2
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 33 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 42 | Average Score: 3.25 | Total Ratings: 2
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 45 | Average Score: 4.00 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 29 | Average Score: 3.33 | Total Ratings: 3
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 48 | Average Score: 3.00 | Total Ratings: 1
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 44 | Average Score: 3.17 | Total Ratings: 3
MovieID: 1010 | Title: Lawrence of Arabia (1962) | Age: 54 | Average Score: 4.50 | Total Ratings: 1
